"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","Hide","Notes"
"azure-servicemanagement-legacy","0.20.7","","Service Management Legacy","Core","core","NA","NA","","false","",""
"azure-storage","0.37.0","","Storage","Storage","https://github.com/Azure/azure-storage-python","NA","NA","","false","",""
"azure-storage-blob-changefeed","","12.0.0b2","Storage - Blob Change Feed","Storage","storage","","","","false","",""
"azure-storage-common","2.1.0","","Storage - Common","Storage","https://github.com/Azure/azure-storage-python/tree/v2.1.0-common/azure-storage-common","NA","NA","","false","",""
"azure-storage-file","2.1.0","","Storage - File","Storage","https://github.com/Azure/azure-storage-python/tree/v2.1.0-file/azure-storage-file","NA","NA","","false","","Replaced by: azure-storage-file-share 12.x"
"azure-storage-nspkg","3.1.0","","Storage Namespace Package","Storage","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/storage/azure-storage-nspkg","NA","NA","","false","",""
"azure-synapse","0.1.0","","Synapse","Synapse","synapse","NA","","","false","",""
"azure-synapse-accesscontrol","0.3.0","","Synapse Access Control","Synapse","synapse","","","","false","",""
"azure-synapse-artifacts","0.3.0","","Synapse Artifacts","Synapse","synapse","","","","false","",""
"azure-synapse-nspkg","1.0.0","","Synapse Namespace Package","Synapse","synapse","NA","NA","","false","",""
"azure-synapse-spark","0.3.0","","Synapse Spark","Synapse","synapse","","","","false","",""
"azure-template","0.0.17","0.1.0b26","Template","Template","","NA","","","false","true",""
"doc-warden","0.7.1","","Doc Warden","Doc Warden","https://github.com/Azure/azure-sdk-tools/tree/doc-warden_0.7.1/packages/python-packages/doc-warden","NA","NA","","false","",""
"msrest","0.6.19","","Msrest","Msrest","https://github.com/Azure/msrest-for-python/tree/v0.6.18/msrest","NA","NA","","false","",""
"msrestazure","0.6.4","","Msrest Azure","Msrest Azure","https://github.com/Azure/msrestazure-for-python/tree/v0.6.4/msrestazure","NA","NA","","false","",""
"tox-monorepo","0.1.2","","Tox Monorepo","Tox Monorepo","https://github.com/Azure/azure-sdk-tools/tree/master/packages/python-packages/tox-monorepo","NA","NA","","false","",""
"uamqp","1.2.12","","Uamqp","Uamqp","https://github.com/Azure/azure-uamqp-python/tree/v1.2.10/uamqp","NA","NA","","false","",""
